DescAlmacenStock;Proveedor;DMarca;DFamil_N1;DFamil_N2;DFamil_N3;DFamil_N4;DFamil_N5;LVenta;Codigo_Anterior;Cod.Artículo;Artículo;RefProv;PendRecibir;Stock;StockDisp;PendServir;PRec+Stock+Disp+PServ;SumaStocks0;PrecioAdq_Artic;PrecioInvent;PVP_artic;Oferta_Compra;Oferta_Venta;PVPanterior;%MB-Stock;%MB-Stock-Oferta;UltFechaAlbCompra;UltFechaAlbVenta;ArticActivo;Obsoleto;Comprar_Stock;Comprar_Cliente;Clasificación;Ean13;Fijo_Vendedor;Val Stock x PrecioAdq_Artic;Val Stock x PrecioInvent;Val Stock x PVP_Artic
ALMACEN REPARACIONES;ALTA S.R.L. UNIPERSONALE;NINGUNA;00003 - Cocinas;00002 - Cocina;00002 - Mobiliario;00099 - Acc. Mobiliario; -;Cocinas;6318113;01360001010011;COCINA S22 LAC.LUCIDO BIANCO 17 SIST.22 EXPO JUNCARIL 1 PEDIDO 2019 02 660;PEDIDO 2019 02 660;0;0;-1;0;-1;No;"3483,19";"2693,19";9468;;;;"0,655813276299113";"0,655813276299113";;26/04/2025;S;S;S;S;VENDER;;;0;0;0
ALMACEN REPARACIONES;ALTA S.R.L. UNIPERSONALE;NINGUNA;00003 - Cocinas;00002 - Cocina;00002 - Mobiliario;00099 - Acc. Mobiliario; -;Cocinas;6318114;01360001010012;COCINA SUPERM.TORT. AP2 SIST.22 EXPO JUNCARIL 2 PEDIDO 2019 02 661;PEDIDO 2019 02 661;0;0;-1;0;-1;No;"6572,21";"5173,79";18193;;;;"0,655895899521794";"0,655895899521794";;13/03/2025;S;S;S;S;VENDER;;;0;0;0
ALMACEN REPARACIONES;ALTA S.R.L. UNIPERSONALE;NINGUNA;00003 - Cocinas;00002 - Cocina;00002 - Mobiliario;00099 - Acc. Mobiliario; -;Cocinas;6360623;01360001010054;COCINA SISTEMA 22 2100391;2100391;0;1;1;0;2;No;"0,01";"0,01";"0,01";;;;"-0,21";"-0,21";08/04/2022;;S;S;S;S;VENDER;;;"0,01";"0,01";"0,01"
ALMACEN REPARACIONES;ANDREA BIZZOTTO S.P.A.;NINGUNA;00001 - Muebles;00057 - Asientos;00002 - Sofás;00001 - Sillas; -;Asientos;;04887001010121;SILLA C-R IDRIS NEGRO 0747195;0747195;0;2;1;0;3;No;"125,73";"134,41";"253,56";;;;"0,358589288531314";"0,358589288531314";13/01/2026;21/01/2026;S;N;S;S;VENDER;8051836689305;;"251,46";"268,82";"507,12"
ALMACEN REPARACIONES;ANDREA BIZZOTTO S.P.A.;NINGUNA;00001 - Muebles;00057 - Asientos;00002 - Sofás;00001 - Sillas; -;Asientos;;04887001010151;SILLA CROSS MARRON NATURAL 0743654;0743654;0;0;-2;0;-2;No;"58,99";"58,99";"118,97";;;;"0,40003446246953";"0,40003446246953";04/11/2025;10/12/2025;S;N;S;S;VENDER;;;0;0;0
ALMACEN REPARACIONES;ANJI DELI FURNITURE CO.LIMITED;AITIN;00001 - Muebles;00057 - Asientos;00002 - Sofás;00001 - Sillas; -;Asientos;6294889-49511;01326001010018;"SILLA AITIN DL-806,#ACABADO EN TELA UF-860-17B";DL-806;0;2;2;0;4;No;"22,96";"22,87";"53,9";;"29,9";"53,9";"0,486591836734694";"0,074491638795987";;;S;S;N;N;LIQUIDACION;8435676701562;2;"45,92";"45,74";"107,8"
ALMACEN REPARACIONES;ANJI DELI FURNITURE CO.LIMITED;BIMBA;00001 - Muebles;00057 - Asientos;00002 - Sofás;00002 - Butacas; -;Asientos;6340587-51572;01326001010014;"BUTACA BIMBA,#ACABADO EN TELA COWBOY 215";;0;1;1;0;2;No;"115,78";"115,78";"249,01";;159;189;"0,437396891691097";"0,118906918238994";04/01/2024;27/05/2025;S;N;N;N;LIQUIDACION;8435676703153;2;"115,78";"115,78";"249,01"
ALMACEN REPARACIONES;ANJI DELI FURNITURE CO.LIMITED;BIMBA;00001 - Muebles;00057 - Asientos;00002 - Sofás;00002 - Butacas; -;Asientos;6340587-51578;01326001010017;"BUTACA BIMBA,#ACABADO EN TELA PK1003-3 BEIGE";;0;2;2;0;4;No;"115,78";"115,78";"249,01";;159;389;"0,437396891691097";"0,118906918238994";;19/05/2025;S;N;N;N;LIQUIDACION;8435676703153;"1,59";"231,56";"231,56";"498,02"
ALMACEN REPARACIONES;ANJI DELI FURNITURE CO.LIMITED;CLUBBY;00001 - Muebles;00057 - Asientos;00002 - Sofás;00002 - Butacas; -;Asientos;6340581-51572;01326001010009;"SILLON CLUBBY,#ACABADO EN TELA COWBOY 215";;0;1;1;0;2;No;"99,79";"99,79";219;;139;339;"0,448648858447489";"0,131324460431655";;21/01/2026;S;N;N;N;LIQUIDACION;8435676700435;2;"99,79";"99,79";219
ALMACEN REPARACIONES;ANJI DELI FURNITURE CO.LIMITED;HAVEN;00001 - Muebles;00057 - Asientos;00002 - Sofás;00002 - Butacas; -;Asientos;6340582-51573;01326001010010;"BUTACA HAVEN,#ACABADO EN TELA PK1003-7 MOSTAZA";;0;2;2;0;4;No;"78,69";"78,69";169;;"99,9";269;"0,436598224852071";"0,046897897897898";;15/04/2024;S;N;N;N;LIQUIDACION;;"1,29";"157,38";"157,38";338
